Fecha,Juliano,TMAX,TMIN,Prec
2026-01-06,6,31.0,16.0,4.1
2026-01-07,7,27.0,12.0,0.5
2026-01-08,8,30.0,9.0,0.0
2026-01-09,9,28.0,13.0,0.0
2026-01-10,10,34.0,12.0,0.0
2026-01-11,11,37.0,15.0,0.0
2026-01-12,12,30.0,20.0,0.3
2026-01-13,13,33.0,16.0,0.0
2026-01-14,14,36.0,11.0,0.0
2026-01-15,15,39.0,17.0,0.0
2026-01-16,16,40.0,19.0,0.0
2026-01-17,17,31.0,16.0,0.0
2026-01-18,18,31.0,8.0,0.0
2026-01-19,19,35.0,9.0,0.0
2026-01-20,20,34.0,13.0,0.3
2026-01-21,21,32.0,15.0,0.9
2026-01-22,22,35.0,13.0,0.0
2026-01-23,23,26.0,13.0,0.0
2026-01-24,24,30.0,13.0,0.0
2026-01-25,25,37.0,14.0,0.0
2026-01-26,26,34.0,10.0,0.0
2026-01-27,27,36.0,11.0,0.0
2026-01-28,28,41.0,18.0,2.1
2026-01-29,29,38.0,19.0,0.0
2026-01-30,30,30.0,12.0,0.0
2026-01-31,31,26.0,16.0,1.4
2026-02-01,32,41.0,20.0,0.0
2026-02-02,33,34.0,13.0,0.0
